epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,67.05,1.36301,0.74125,0.89679,0.85554,0.57415,0.6386,0.35016,1.50967,0.72734,0.88777,0.000660045,0.000660045,0.000660045
43,68.6174,1.3921,0.73894,0.89364,0.86682,0.61582,0.67184,0.37755,1.37358,0.70193,0.8761,0.000649046,0.000649046,0.000649046
44,70.1789,1.38536,0.74789,0.89821,0.86137,0.59599,0.67374,0.35555,1.49066,0.71501,0.87899,0.000638047,0.000638047,0.000638047
45,71.763,1.36805,0.73305,0.90287,0.85221,0.57755,0.65376,0.35328,1.49446,0.70165,0.88585,0.000627048,0.000627048,0.000627048
46,73.309,1.36017,0.74365,0.88903,0.91303,0.60636,0.68409,0.36688,1.47093,0.69488,0.88146,0.000616049,0.000616049,0.000616049
47,74.8686,1.35175,0.7319,0.89349,0.89268,0.59528,0.64925,0.37407,1.40748,0.66957,0.87551,0.000605051,0.000605051,0.000605051
48,76.4012,1.3417,0.72059,0.8884,0.9253,0.60797,0.66064,0.36952,1.43636,0.67905,0.87872,0.000594052,0.000594052,0.000594052
49,77.918,1.32554,0.72687,0.88933,0.92623,0.60762,0.65942,0.3694,1.41844,0.66742,0.87694,0.000583053,0.000583053,0.000583053
50,79.4458,1.31139,0.70272,0.88493,0.92878,0.59447,0.66355,0.37893,1.4143,0.64596,0.87593,0.000572054,0.000572054,0.000572054
51,81.0114,1.32627,0.70245,0.88061,0.91511,0.60056,0.66254,0.3861,1.40375,0.67019,0.87424,0.000561055,0.000561055,0.000561055
52,82.5738,1.26979,0.68669,0.88165,0.91383,0.61504,0.67637,0.3838,1.40748,0.64819,0.8758,0.000550056,0.000550056,0.000550056
53,84.158,1.3101,0.70041,0.89113,0.92491,0.60353,0.66077,0.3807,1.38604,0.66061,0.8716,0.000539057,0.000539057,0.000539057
